speciesid,,species,lol_location,class,maxlevel,behavior,habitat,senses,herd,activity,silver,gold,diamond,maxscore,maxweightkg,maxweightlbs,trackweight,lol_fur,lol_rest,lol_feed,lol_drink,lol_none,lol_active,caller,scent,ammo,weapon
jackrabbit,"[""Jackrabbit""]",Jackrabbit,"[[""Layton Lake""]]","[""1""]","[""6.8""]","[""Docile and somewhat skittish""]","[""Deciduous forests and open fields""]","[""Very good hearing and vision""]","[""Typically solitary. During mating season, groups of males can be found with females in medium-sized groups.""]","[""During dawn, late afternoon and dusk""]","[""2.8""]","[""4.8""]","[""6.3""]","[""6.8""]","[""6.8 KG""]","[""15.1 LBS""]","[""5-6 KG""]","[[""Light Brown (Common)"",""Grey (Common)"",""Albino (Rare)"",""Melanistic (Rare)""]]","[[""01:00 - 05:00"",""14:00 - 16:00""]]","[[""05:00 - 11:00"",""16:00 - 22:00""]]","[[""11:00 - 14:00"",""22:00 - 01:00""]]",,,"[""None""]","[""No""]","["".22LR"","".410"",""10G"",""12G"",""16G"",""20G"",""300 Grain"",""350 Grain""]","[""Virant .22LR"",""Andersson .22LR"",""Mangiafico 410/45 Colt"",""Grenkin's Shotgun"",""Caversham Steward 12G"",""Cacciatore 12G"",""Grelck Drilling Rifle"",""Strecker SxS 20G"",""Nordin 20SA"",""Crosspoint CB-165"",""Razorblack Lite CB-60"",""Bearclaw Lite CB-60"",""Hawk Edge CB-70"",""Houyi Recurve Bow"",""Alexander Longbow""]"
lesserkudu,"[""Lesser Kudu""]",Lesser Kudu,"[[""Vurhonga Savanna""]]","[""4""]","[""35""]","[""Skittish and shy""]","[""Dry, thorn bush and heavily forested regions""]","[""Excellent hearing and very good vision and sense of smell""]","[""Adult males are solitary, females and families live in small groups""]","[""Early evening to morning""]","[""13.3""]","[""24.2""]","[""32.2""]","[""35""]","[""105 KG""]","[""231 LBS""]","[""91-105 KG""]","[[""Dark (Common)"",""Dusky (Uncommon)"",""Dark Brown (Uncommon)"",""Red Brown (Rare)"",""Albino (Rare)"",""Melanistic (Rare)""]]","[[""10:00 - 14:00"",""14:00 - 19:00""]]","[[""04:00 - 07:00"",""07:00 - 10:00""]]","[[""00:00 - 04:00""]]",,,"[""Antler Rattler"",""Buck 'Snort Wheeze' Caller""]","[""No""]","["".223"","".243"","".270"",""6.5mm"",""7mm"",""30-30"","".303"",""45-70"","".30-06"",""7.62x54R"","".45"","".50"","".357"","".44"","".45"","".454"",""10G"",""12G"",""16G"",""20G"",""420 Grain"",""540 Grain""]","["".223 Docent"",""Ranger .243"","".270 Stradivarius"","".270 Huntsman"",""Martensson 6.5 mm"",""7mm Regent Magnum"",""Whitlock Model 86"",""F.L. Sporter .303"",""Coachmate Lever .45-70"",""Eckers .30-06"",""M1 Iwaniec"",""Vasquez Cyclone .45"",""Solokhin MN1890"",""Hudzik .50 Caplock"",""Focoso 357"","".44 Panther Magnum"",""Mangiafico 410/45 Colt"",""Rhino 454"",""Grenkin's Shotgun"",""Caversham Steward 12G"",""Cacciatore 12G"",""Grelck Drilling Rifle"",""Strecker SxS 20G"",""Nordin 20SA"",""Crosspoint CB-165"",""Razorblack Lite CB-60"",""Bearclaw Lite CB-60"",""Hawk Edge CB-70"",""Houyi Recurve Bow"",""Alexander Longbow""]"
lion,"[""Lion""]",Lion,"[[""Vurhonga Savanna""]]","[""9""]","[""50""]","[""Territorial, curious and confrontational""]","[""Savanna and lightly forested areas""]","[""Legendary senses that befit an apex predator""]","[""Solitary when outside prides, males can form coalitions""]","[""Dusk to Dawn, briefly in the afternoon""]","[""38""]","[""44""]","[""48.5""]","[""50""]","[""270 KG""]","[""595 LBS""]","[""263-270 KG""]","[[""Blonde (Very Rare)"",""Dark Brown (Very Rare)"",""Albino (Very Rare)""]]","[[""08:00 - 12:00"",""15:00 - 00:00""]]","[[""00:00 - 08:00""]]","[[""12:00 - 15:30""]]",,,"[""Predator 'Jackrabbit' Caller"",""Predator 'Distressed Fawn' Caller""]","[""No""]","[""7mm"","".338"","".470"",""45-70"",""9.3x74R"","".300"","".454"",""10G"",""600 Grain"",""700 Grain""]","[""7mm Regent Magnum"",""Rangemaster 338"",""King 470DB Zenith"",""Coachmate Lever .45-70"",""Grelck Drilling Rifle"","".300 Canning Magnum"",""Rhino 454"",""Grenkin's Shotgun"",""Crosspoint CB-165"",""Razorblack Lite CB-60"",""Bearclaw Lite CB-60"",""Hawk Edge CB-70"",""Houyi Recurve Bow"",""Alexander Longbow""]"
mallard,"[""Mallard""]",Mallard,"[[""Layton Lake""]]","[""1""]","[""21""]","[""Vocal and social""]","[""Swamps, ponds, lakes, rivers""]","[""Very good hearing, okay sense of vision, poor sense of smell""]","[""Mixed groups with one dominant male, some males remain solitary""]","[""Dawn, early morning, night""]","[""9.9""]","[""15.4""]","[""19.6""]","[""21""]","[""2.1 KG""]","[""4.6 LBS""]","[""1-2 KG""]","[[""Brown Hybrid (Common)"",""Piebald (Uncommon)"",""Melanistic (Rare)"",""Luecistic (Rare)""]]",,,,"[[""00:00 - 00:00""]]",,"[""Beacon Deluxe Duck Caller""]","[""No""]","["".22LR"","".410"",""10G"",""12G"",""16G"",""20G"",""300 Grain"",""350 Grain""]","[""Virant .22LR"",""Andersson .22LR"",""Mangiafico 410/45 Colt"",""Grenkin's Shotgun"",""Caversham Steward 12G"",""Cacciatore 12G"",""Grelck Drilling Rifle"",""Strecker SxS 20G"",""Nordin 20SA"",""Crosspoint CB-165"",""Razorblack Lite CB-60"",""Bearclaw Lite CB-60"",""Hawk Edge CB-70"",""Houyi Recurve Bow"",""Alexander Longbow""]"
moose,"[""Moose""]",Moose,"[[""Layton Lake""],[""Medved Taiga""],[""Yukon Valley""]]","[""8""]","[""320""]","[""Docile, but easily defensive""]","[""Prefer coniferous forests and wetlands""]","[""Great sense of smell and good hearing""]","[""Typically solitary""]","[""During dusk and dawn""]","[""89.7""]","[""204.6""]","[""290.7""]","[""320""]","[""620 KG""]","[""1367 LBS""]","[""545-620 KG""]","[[""Albino (Rare)"",""Melanistic (Rare)""],[""Piebald (Rare)"",""Albino (Rare)"",""Melanistic (Rare)"",""Mocha (Mission)""],[""Piebald (Rare)"",""Albino (Rare)"",""Melanistic (Rare)""]]","[[""00:00 - 05:00"",""13:00 - 17:00"",""21:00 - 00:00""],[""00:00 - 05:00"",""13:00 - 17:00"",""21:00 - 00:00""],[""00:00 - 05:00"",""13:00 - 17:00"",""21:00 - 00:00""]]","[[""05:00 - 09:00"",""17:00 - 21:00""],[""05:00 - 09:00"",""17:00 - 21:00""],[""05:00 - 09:00"",""17:00 - 21:00""]]","[[""09:00 - 13:30""],[""09:00 - 13:30""],[""09:00 - 13:30""]]",,,"[""Moose Caller""]","[""Yes""]","["".270"",""6.5mm"",""7mm"","".338"","".303"",""45-70"",""9.3x74R"","".30-06"","".300"","".50"","".44"","".454"",""10G"",""12G"",""540 Grain"",""600 Grain"",""700 Grain""]","["".270 Stradivarius"","".270 Huntsman"",""Martensson 6.5 mm"",""7mm Regent Magnum"",""Rangemaster 338"",""F.L. Sporter .303"",""Coachmate Lever .45-70"",""Grelck Drilling Rifle"",""Eckers .30-06"",""M1 Iwaniec"","".300 Canning Magnum"","".44 Panther Magnum"",""Hudzik .50 Caplock"",""Rhino 454"",""Grenkin's Shotgun"",""Caversham Steward 12G"",""Cacciatore 12G"",""Houyi Recurve Bow"",""Alexander Longbow"",""Crosspoint CB-165"",""Razorblack Lite CB-60"",""Bearclaw Lite CB-60"",""Hawk Edge CB-70"",""Houyi Recurve Bow"",""Alexander Longbow""]"
mountaingoat,"[""Mountain Goat""]",Mountain Goat,"[[""Silver Ridge Peaks""]]","[""4""]","[""115""]","[""Unknown""]","[""Unknown""]","[""Unknown""]","[""Unknown""]","[""Unknown""]","[""52.7""]","[""84.1""]","[""107.6""]","[""115""]","[""145 KG""]","[""320 LBS""]","[""120-145 KG""]","[[""White (Common)"",""Beige (Common)"",""Light Brown (Common)"",""Albino (Rare)"",""Melanistic (Rare)""]]","[[""03:00 - 05:00"",""13:00 - 16:00""]]","[[""00:00 - 03:00"",""05:00 - 09:00"",""11:00 - 14:00""]]","[[""09:00 - 11:00""]]",,,"[""None""]","[""No""]","["".223"","".243"","".270"",""6.5mm"",""7mm"",""30-30"","".303"",""45-70"","".30-06"",""7.62x54R"","".45"","".50"","".357"","".44"","".45"","".454"",""10G"",""12G"",""16G"",""20G"",""420 Grain"",""540 Grain""]","["".223 Docent"",""Ranger .243"","".270 Stradivarius"","".270 Huntsman"",""Martensson 6.5 mm"",""7mm Regent Magnum"",""Whitlock Model 86"",""F.L. Sporter .303"",""Coachmate Lever .45-70"",""Eckers .30-06"",""M1 Iwaniec"",""Vasquez Cyclone .45"",""Solokhin MN1890"",""Hudzik .50 Caplock"",""Focoso 357"","".44 Panther Magnum"",""Mangiafico 410/45 Colt"",""Rhino 454"",""Grenkin's Shotgun"",""Caversham Steward 12G"",""Cacciatore 12G"",""Grelck Drilling Rifle"",""Strecker SxS 20G"",""Nordin 20SA"",""Crosspoint CB-165"",""Razorblack Lite CB-60"",""Bearclaw Lite CB-60"",""Hawk Edge CB-70"",""Houyi Recurve Bow"",""Alexander Longbow""]"
mountainlion,"[""Mountain Lion""]",Mountain Lion,"[[""Silver Ridge Peaks""]]","[""5""]","[""40""]","[""Unknown""]","[""Unknown""]","[""Unknown""]","[""Unknown""]","[""Unknown""]","[""32""]","[""36""]","[""39""]","[""40""]","[""105 KG""]","[""231 LBS""]","[""86-105 KG""]","[[""Dark Red (Common)"",""Grey (Uncommon)"",""Albino (Rare)"",""Melanistic (Rare)""]]","[[""08:00 - 17:00""]]","[[""00:00 - 06:00"",""18:30 - 00:00""]]","[[""06:00 - 08:00"",""17:00 - 18:30""]]",,,"[""Predator 'Distressed Fawn' Caller""]","[""No""]","["".243"","".270"",""6.5mm"",""7mm"",""30-30"","".303"",""45-70"",""9.3x74R"","".30-06"",""7.62x54R"","".50"","".357"","".44"","".45"","".454"",""10G"",""12G"",""16G"",""20G"",""420 Grain"",""540 Grain""]","[""Ranger .243"","".270 Stradivarius"","".270 Huntsman"",""Martensson 6.5 mm"",""7mm Regent Magnum"",""Whitlock Model 86"",""F.L. Sporter .303"",""Coachmate Lever .45-70"",""Grelck Drilling Rifle"",""Eckers .30-06"",""M1 Iwaniec"",""Hudzik .50 Caplock"",""Solokhin MN1890"",""Focoso 357"","".44 Panther Magnum"",""Mangiafico 410/45 Colt"",""Rhino 454"",""Grenkin's Shotgun"",""Caversham Steward 12G"",""Cacciatore 12G"",""Grelck Drilling Rifle"",""Strecker SxS 20G"",""Nordin 20SA"",""Crosspoint CB-165"",""Razorblack Lite CB-60"",""Bearclaw Lite CB-60"",""Hawk Edge CB-70"",""Houyi Recurve Bow"",""Alexander Longbow""]"
muledeer,"[""Mule Deer""]",Mule Deer,"[[""Parque Fernando""],[""Silver Ridge Peaks""]]","[""6""]","[""Unknown yet""]","[""Calm""]","[""Plains, forests, and grasslands""]","[""Excellent sense of hearing and smell, overall decent visual sense""]","[""Common herds in winter, but segregated male and female populations in spring""]","[""Dawn to dusk""]","[""98.9""]","[""222.2""]","[""314.8""]","[""Unknown""]","[""210 KG""]","[""463 LBS""]","[""175-210 KG""]","[[""Grey (Common)"",""Blonde (Common)"",""Dilute (Uncommon)"",""Piebald (Rare)"",""Albino (Rare)"",""Melanistic (Rare)""],[""Grey (Common)"",""Blonde (Common)"",""Dilute (Uncommon)"",""Piebald (Rare)"",""Albino (Rare)"",""Melanistic (Rare)""]]","[[""04:00 - 09:00"",""12:00 - 17:00""],[""05:00 - 09:00"",""14:00 - 18:00""]]","[[""00:00 - 04:00"",""17:00 - 21:00""],[""00:00 - 05:00"",""10:00 - 14:00""]]","[[""09:00 - 12:00"",""21:00 - 00:00""],[""09:00 - 10:00""]]",,,"[""Deer 'Bleat' Caller""]","[""Yes""]","["".243"","".270"",""6.5mm"",""7mm"",""30-30"","".303"",""45-70"",""9.3x74R"","".30-06"",""7.62x54R"","".50"","".357"","".44"","".454"",""10G"",""12G"",""16G"",""20G"",""420 Grain"",""540 Grain""]","[""Ranger .243"","".270 Stradivarius"","".270 Huntsman"",""Martensson 6.5 mm"",""7mm Regent Magnum"",""Whitlock Model 86"",""F.L. Sporter .303"",""Coachmate Lever .45-70"",""Grelck Drilling Rifle"",""Eckers .30-06"",""M1 Iwaniec"",""Hudzik .50 Caplock"",""Solokhin MN1890"",""Focoso 357"","".44 Panther Magnum"",""Rhino 454"",""Grenkin's Shotgun"",""Caversham Steward 12G"",""Cacciatore 12G"",""Grelck Drilling Rifle"",""Strecker SxS 20G"",""Nordin 20SA"",""Crosspoint CB-165"",""Razorblack Lite CB-60"",""Bearclaw Lite CB-60"",""Hawk Edge CB-70"",""Houyi Recurve Bow"",""Alexander Longbow""]"
plainsbison,"[""Musk Deer""]",Musk Deer,"[[""Medved Taiga""]]","[""2""]","[""276""]","[""Calm, confident, but aggressive when threatened""]","[""Grassland, wetland, shrubland, sparse woods""]","[""Poor eyesight but excellent sense of smell""]","[""Cows and young live in large herds, mature bulls live on their own or in small bachelor herds""]","[""Morning and evening""]","[""60""]","[""168""]","[""249""]","[""276""]","[""17 KG""]","[""37 LBS""]","[""14-17 KG""]","[[""Piebald (Rare)"",""Albino (Rare)"",""Melanistic ( Very Rare)""]]","[[""00:00 - 03:00"",""15:00 - 19:00"",""07:00 - 11:00""]]","[[""11:00 - 15:00"",""19:00 - 00:00""]]","[[""03:00 - 07:00""]]",,,"[""None""]","[""No""]","["".223"",""30-30"","".45"","".357"","".45"",""12G"",""16G"",""20G"",""300 Grain"",""350 Grain"",""420 Grain""]","["".223 Docent"",""Ranger .243"",""Whitlock Model 86"",""Vasquez Cyclone .45"",""Focoso 357"",""Mangiafico 410/45 Colt"",""Caversham Steward 12G"",""Cacciatore 12G"",""Grelck Drilling Rifle"",""Strecker SxS 20G"",""Nordin 20SA"",""Crosspoint CB-165"",""Razorblack Lite CB-60"",""Bearclaw Lite CB-60"",""Hawk Edge CB-70"",""Houyi Recurve Bow"",""Alexander Longbow"",""Crosspoint CB-165"",""Razorblack Lite CB-60"",""Bearclaw Lite CB-60"",""Hawk Edge CB-70""]"
pronghorn,"[""Plains Bison""]",Plains Bison,"[[""Yukon Valley""],[""Silver Ridge Peaks""]]","[""9""]","[""245.5""]","[""Unknown""]","[""Unknown""]","[""Unknown""]","[""Unknown""]","[""Unknown""]","[""50.7""]","[""148.1""]","[""221.1""]","[""245.5""]","[""1200 KG""]","[""2645 LBS""]","[""987-1200 KG""]","[[""Leucistic (Rare)"",""Albino (Rare)"",""Melanistic (Rare)""],[""Leucistic (Rare)"",""Albino (Rare)"",""Melanistic (Rare)""]]","[[""07:00 - 11:00"",""11:00 - 15:00"",""15:00 - 19:00""],[""11:00 - 16:00""]]","[[""00:00 - 03:00"",""19:00 - 00:00""],[""03:00 - 10:00"",""17:00 - 00:00""]]","[[""03:00 - 07:00""],[""10:00 - 11:00"",""16:00 - 17:00""]]",,,"[""None""]","[""No""]","[""7mm"","".338"","".470"",""45-70"",""9.3x74R"","".300"","".454"",""10G"",""600 Grain"",""700 Grain""]","[""7mm Regent Magnum"",""Rangemaster 338"",""King 470DB Zenith"",""Coachmate Lever .45-70"",""Grelck Drilling Rifle"","".300 Canning Magnum"",""Rhino 454"",""Grenkin's Shotgun"",""Crosspoint CB-165"",""Razorblack Lite CB-60"",""Bearclaw Lite CB-60"",""Hawk Edge CB-70"",""Houyi Recurve Bow"",""Alexander Longbow""]"
puma,"[""Pronghorn""]",Pronghorn,"[[""Silver Ridge Peaks""]]","[""4""]","[""105""]","[""Extremely aware and sensitive""]","[""All possible regions in the home range""]","[""Excellent sense of hearing, smell and vision""]","[""Highly solitary occasionally in small groups""]","[""Dusk to Dawn""]","[""46""]","[""75.7""]","[""98""]","[""105""]","[""65 KG""]","[""143 LBS""]","[""57-65 KG""]","[[""Dark (Common)"",""Piebald (Rare)"",""Leucistic (Rare)"",""Albino (Rare)""]]","[[""00:00 - 05:00""]]","[[""03:00 - 05:00""]]","[[""08:00 - 10:00"",""19:00 - 21:00""]]",,,"[""None""]","[""No""]","["".223"","".243"","".270"",""6.5mm"",""7mm"",""30-30"","".303"",""45-70"","".30-06"",""7.62x54R"","".45"","".50"","".357"","".44"","".45"","".454"",""10G"",""12G"",""16G"",""20G"",""420 Grain"",""540 Grain""]","["".223 Docent"",""Ranger .243"","".270 Stradivarius"","".270 Huntsman"",""Martensson 6.5 mm"",""7mm Regent Magnum"",""Whitlock Model 86"",""F.L. Sporter .303"",""Coachmate Lever .45-70"",""Eckers .30-06"",""M1 Iwaniec"",""Vasquez Cyclone .45"",""Solokhin MN1890"",""Hudzik .50 Caplock"",""Focoso 357"","".44 Panther Magnum"",""Mangiafico 410/45 Colt"",""Rhino 454"",""Grenkin's Shotgun"",""Caversham Steward 12G"",""Cacciatore 12G"",""Grelck Drilling Rifle"",""Strecker SxS 20G"",""Nordin 20SA"",""Crosspoint CB-165"",""Razorblack Lite CB-60"",""Bearclaw Lite CB-60"",""Hawk Edge CB-70"",""Houyi Recurve Bow"",""Alexander Longbow""]"
reddeer,"[""Puma""]",Puma,"[[""Parque Fernando""]]","[""5""]","[""40""]","[""Docile and not aggressive""]","[""Prefer forests and mountainous terrain""]","[""Very good sense of smell""]","[""Sometimes solitary, otherwise they live in larger groups""]","[""During dawn and dusk""]","[""32""]","[""36""]","[""39""]","[""40""]","[""105 KG""]","[""231 LBS""]","[""86-105 KG""]","[[""Dark Red (Common)"",""Grey (Uncommon)"",""Albino (Rare)"",""Melanistic (Rare)""]]","[[""09:00 - 13:00"",""17:00 - 21:00""]]","[[""00:00 - 06:00""]]","[[""06:00 - 09:00"",""13:00 - 17:00"",""21:00 - 00:00""]]",,,"[""Predator 'Distressed Fawn' Caller""]","[""Yes""]","["".243"","".270"",""6.5mm"",""7mm"",""30-30"","".303"",""45-70"",""9.3x74R"","".30-06"",""7.62x54R"","".50"","".357"","".44"","".45"","".454"",""10G"",""12G"",""16G"",""20G"",""420 Grain"",""540 Grain""]","[""Ranger .243"","".270 Stradivarius"","".270 Huntsman"",""Martensson 6.5 mm"",""7mm Regent Magnum"",""Whitlock Model 86"",""F.L. Sporter .303"",""Coachmate Lever .45-70"",""Grelck Drilling Rifle"",""Eckers .30-06"",""M1 Iwaniec"",""Hudzik .50 Caplock"",""Solokhin MN1890"",""Focoso 357"","".44 Panther Magnum"",""Mangiafico 410/45 Colt"",""Rhino 454"",""Grenkin's Shotgun"",""Caversham Steward 12G"",""Cacciatore 12G"",""Grelck Drilling Rifle"",""Strecker SxS 20G"",""Nordin 20SA"",""Crosspoint CB-165"",""Razorblack Lite CB-60"",""Bearclaw Lite CB-60"",""Hawk Edge CB-70"",""Houyi Recurve Bow"",""Alexander Longbow""]"
redfox,"[""Red Deer""]",Red Deer,"[[""Hirschfelden""],[""Parque Fernando""],[""Cuatro Colinas""]]","[""6""]","[""270""]","[""Docile and skittish""]","[""A mix of forests, open fields, and mountainous terrain""]","[""Excellent vision and very good hearing""]","[""Typically solitary""]","[""During dawn and dusk""]","[""90.5""]","[""182.2""]","[""251""]","[""270""]","[""240 KG""]","[""529 LBS""]","[""210-240 KG""]","[[""Piebald (Rare)"",""Albino (Rare)"",""Melanistic (Very Rare)""],[""Piebald (Rare)"",""Albino (Rare)"",""Melanistic (Very Rare)""],[""Piebald (Rare)"",""Albino (Rare)"",""Melanistic (Very Rare)""],[""Piebald (Rare)"",""Albino (Rare)"",""Melanistic (Very Rare)""]]","[[""00:00 - 05:00"",""09:00 - 13:00"",""21:00 - 00:00""],[""00:00 - 05:00"",""09:00 - 13:00"",""21:00 - 00:00""],[""00:00 - 05:00"",""09:00 - 13:00"",""21:00 - 00:00""],[""00:00 - 05:00"",""11:00 - 14:00""]]","[[""13:00 - 17:00""],[""13:00 - 17:00""],[""13:00 - 17:00""],[""05:00 - 08:00 "",""08:00 - 11:00"",""18:00 - 21:00""]]","[[""05:00 - 09:00"",""17:00 - 21:00""],[""05:00 - 09:00"",""17:00 - 21:00""],[""05:00 - 09:00"",""17:00 - 21:00""],[""18:00 - 21:00""]]",,,"[""Red Deer Caller""]","[""No""]","["".243"","".270"",""6.5mm"",""7mm"",""30-30"","".303"",""45-70"",""9.3x74R"","".30-06"",""7.62x54R"","".50"","".357"","".44"","".454"",""10G"",""12G"",""16G"",""20G"",""420 Grain"",""540 Grain""]","[""Ranger .243"","".270 Stradivarius"","".270 Huntsman"",""Martensson 6.5 mm"",""7mm Regent Magnum"",""Whitlock Model 86"",""F.L. Sporter .303"",""Coachmate Lever .45-70"",""Grelck Drilling Rifle"",""Eckers .30-06"",""M1 Iwaniec"",""Hudzik .50 Caplock"",""Solokhin MN1890"",""Focoso 357"","".44 Panther Magnum"",""Rhino 454"",""Grenkin's Shotgun"",""Caversham Steward 12G"",""Cacciatore 12G"",""Grelck Drilling Rifle"",""Strecker SxS 20G"",""Nordin 20SA"",""Crosspoint CB-165"",""Razorblack Lite CB-60"",""Bearclaw Lite CB-60"",""Hawk Edge CB-70"",""Houyi Recurve Bow"",""Alexander Longbow""]"
reindeer,"[""Red Fox""]",Red Fox,"[[""Hirschfelden""],[""Yukon Valley""]]","[""2""]","[""15""]","[""Docile and not aggressive""]","[""Prefer open areas""]","[""Excellent sense of smell""]","[""Sometimes solitary, otherwise they live in larger groups""]","[""During all times""]","[""4.6""]","[""10""]","[""14""]","[""15""]","[""15.4 KG""]","[""33 LBS""]","[""12-15 KG""]","[[""Piebald (Rare)"",""Albino (Very Rare)"",""Melanistic (Very Rare)""],[""Piebald (Rare)"",""Albino (Very Rare)"",""Melanistic (Very Rare)""]]","[[""07:00 - 11:00"",""11:00 - 15:00"",""15:00 - 19:00""],[""07:00 - 11:00"",""15:00 - 19:00"",""11:00 - 15:00""]]","[[""00:00 - 03:00"",""03:00 - 07:00""],[""00:00 - 03:00"",""03:00 - 07:00""]]","[[""19:00 - 00:00""],[""19:00 - 00:00""]]",,,"[""Predator 'Jackrabbit' Caller""]","[""No""]","["".223"",""30-30"","".45"","".357"","".45"",""12G"",""16G"",""20G"",""300 Grain"",""350 Grain"",""420 Grain""]","["".223 Docent"",""Ranger .243"",""Whitlock Model 86"",""Vasquez Cyclone .45"",""Focoso 357"",""Mangiafico 410/45 Colt"",""Caversham Steward 12G"",""Cacciatore 12G"",""Grelck Drilling Rifle"",""Strecker SxS 20G"",""Nordin 20SA"",""Crosspoint CB-165"",""Razorblack Lite CB-60"",""Bearclaw Lite CB-60"",""Hawk Edge CB-70"",""Houyi Recurve Bow"",""Alexander Longbow"",""Crosspoint CB-165"",""Razorblack Lite CB-60"",""Bearclaw Lite CB-60"",""Hawk Edge CB-70""]"
rockymountainelk,"[""Reindeer""]",Reindeer,"[[""Medved Taiga""]]","[""6""]","[""470""]","[""Unknown""]","[""Unknown""]","[""Unknown""]","[""Unknown""]","[""Unknown""]","[""152.5""]","[""311.2""]","[""430.2""]","[""470""]","[""182 KG""]","[""401 LBS""]","[""156-182 KG""]","[[""Piebald (Rare)"",""Leucistic (Rare)"",""Albino (Rare)"",""Melanistic (Rare)""]]","[[""00:00 - 05:00"",""13:00 - 17:00"",""21:00 - 00:00""]]","[[""09:00 - 13:00""]]","[[""05:00 - 09:00"",""17:00 - 21:00""]]",,,"[""Antler Rattler""]","[""No""]","["".243"","".270"",""6.5mm"",""7mm"",""30-30"","".303"",""45-70"",""9.3x74R"","".30-06"",""7.62x54R"","".50"","".357"","".44"","".454"",""10G"",""12G"",""16G"",""20G"",""420 Grain"",""540 Grain""]","[""Ranger .243"","".270 Stradivarius"","".270 Huntsman"",""Martensson 6.5 mm"",""7mm Regent Magnum"",""Whitlock Model 86"",""F.L. Sporter .303"",""Coachmate Lever .45-70"",""Grelck Drilling Rifle"",""Eckers .30-06"",""M1 Iwaniec"",""Hudzik .50 Caplock"",""Solokhin MN1890"",""Focoso 357"","".44 Panther Magnum"",""Rhino 454"",""Grenkin's Shotgun"",""Caversham Steward 12G"",""Cacciatore 12G"",""Grelck Drilling Rifle"",""Strecker SxS 20G"",""Nordin 20SA"",""Crosspoint CB-165"",""Razorblack Lite CB-60"",""Bearclaw Lite CB-60"",""Hawk Edge CB-70"",""Houyi Recurve Bow"",""Alexander Longbow""]"
roedeer,"[""Rocky Mountain Elk""]",Rocky Mountain Elk,"[[""Silver Ridge Peaks""]]","[""8""]","[""520+ (Highest yet)""]","[""Skittish and vocal when alarmed""]","[""Prefer a mix of forests and open fields""]","[""Very good hearing and sense of smell""]","[""usually alone, smalls groups of 2-3""]","[""During dawn and dusk""]","[""177.8""]","[""351.3""]","[""481.4""]","[""520+""]","[""480 KG""]","[""1058 LBS""]","[""410-480 KG""]","[[""Light Grey (Common)"",""Brown (Common)"",""Piebald (Rare)"",""Albino (Rare)""]]","[[""00:00 - 04:00""]]","[[""05:00 - 17:00"",""18:00 - 00:00""]]","[[""04:00 - 05:00"",""17:00 - 18:00""]]",,,"[""Elk Caller""]","[""Yes""]","["".270"",""6.5mm"",""7mm"","".338"","".303"",""45-70"",""9.3x74R"","".30-06"","".300"","".50"","".44"","".454"",""10G"",""12G"",""540 Grain"",""600 Grain"",""700 Grain""]","["".270 Stradivarius"","".270 Huntsman"",""Martensson 6.5 mm"",""7mm Regent Magnum"",""Rangemaster 338"",""F.L. Sporter .303"",""Coachmate Lever .45-70"",""Grelck Drilling Rifle"",""Eckers .30-06"",""M1 Iwaniec"","".300 Canning Magnum"","".44 Panther Magnum"",""Hudzik .50 Caplock"",""Rhino 454"",""Grenkin's Shotgun"",""Caversham Steward 12G"",""Cacciatore 12G"",""Houyi Recurve Bow"",""Alexander Longbow"",""Crosspoint CB-165"",""Razorblack Lite CB-60"",""Bearclaw Lite CB-60"",""Hawk Edge CB-70"",""Houyi Recurve Bow"",""Alexander Longbow""]"
rondaibex,"[""Roe Deer""]",Roe Deer,"[[""Hirschfelden""],[""Cuatro Colinas""]]","[""3""]","[""95""]","[""Wary, shy""]","[""Rocky terrain, forests, shrublands""]","[""Excellent sense of vision and hearing, decent sense of smell""]","[""Common herds during rutting season, same-sex groups during the rest of the year""]","[""Dawn to dusk""]","[""40.5""]","[""68.4""]","[""89.3""]","[""95""]","[""35 KG""]","[""77 LBS""]","[""29-35 KG""]","[[""Piebald (Rare)"",""Albino (Rare)"",""Melanistic (Very Rare)""],[""Piebald (Rare)"",""Albino (Rare)"",""Melanistic (Rare)""]]","[[""00:00 - 05:00"",""09:00 - 13:00"",""21:00 - 00:00""],[""00:00 - 05:00"",""09:00 - 13:30"",""21:00 - 00:00""]]","[[""05:00 - 09:00"",""17:00 - 21:00""],[""17:00 - 21:00""]]","[[""13:00 - 17:00""],[""06:00 - 09:30"",""13:00 - 17:00""]]",,,"[""Roe Deer Caller""]","[""No""]","["".223"","".243"",""30-30"",""7.62x54R"","".45"","".50"","".357"","".44"","".45"",""12G"",""16G"",""20G"",""350 Grain"",""420 Grain""]","["".223 Docent"",""Ranger .243"",""Whitlock Model 86"",""Solokhin MN1890"",""Vasquez Cyclone .45"",""Hudzik .50 Caplock"",""Focoso 357"","".44 Panther Magnum"",""Mangiafico 410/45 Colt"",""Strecker SxS 20G"",""Nordin 20SA"",""Grelck Drilling Rifle"",""Strecker SxS 20G"",""Nordin 20SA"",""Houyi Recurve Bow"",""Alexander Longbow"",""Crosspoint CB-165"",""Razorblack Lite CB-60"",""Bearclaw Lite CB-60"",""Hawk Edge CB-70""]"
